"execution_idx","application","case","version","exception_name","frame_level","search_budget","fitness_function_value","number_of_fitness_evaluations","fitness_function_evolution","p_object_pool","seed_clone","seed_mutations"
30,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,2,62328,0.0,100,"[0.0,100]",0.3,0,3
30,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,3,62328,0.0,100,"[0.0,100]",0.3,0,3
23,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,6,62328,,,,0.3,0,3
23,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,5,62328,4.0,700,"[5.0,100][4.0,700]",0.3,0,3
23,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,7,62328,,,,0.3,0,3
23,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,8,62328,,,,0.3,0,3
30,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,4,62328,0.0,200,"[0.6,100][0.0,200]",0.3,0,3
24,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,5,62328,0.6,900,"[5.0,100][4.0,200][0.6,700]",0.3,0,3
24,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,6,62328,,,,0.3,0,3
24,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,7,62328,,,,0.3,0,3
24,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,8,62328,,,,0.3,0,3
25,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,7,62328,,,,0.3,0,3
25,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,6,62328,,,,0.3,0,3
25,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,8,62328,,,,0.3,0,3
26,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,5,62328,3.0,900,"[5.0,100][4.0,200][3.0,700]",0.3,0,3
26,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,6,62328,,,,0.3,0,3
26,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,7,62328,,,,0.3,0,3
26,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,8,62328,,,,0.3,0,3
27,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,5,62328,4.0,1000,"[5.0,100][4.0,200]",0.3,0,3
27,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,6,62328,,,,0.3,0,3
27,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,7,62328,,,,0.3,0,3
27,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,8,62328,,,,0.3,0,3
28,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,5,62328,4.0,700,"[5.0,100][4.0,300]",0.3,0,3
28,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,6,62328,,,,0.3,0,3
28,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,7,62328,,,,0.3,0,3
28,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,8,62328,,,,0.3,0,3
29,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,5,62328,0.6,700,"[5.0,100][0.6,400]",0.3,0,3
29,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,6,62328,,,,0.3,0,3
29,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,7,62328,,,,0.3,0,3
29,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,8,62328,,,,0.3,0,3
30,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,5,62328,4.0,700,"[5.0,100][4.0,400]",0.3,0,3
30,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,6,62328,,,,0.3,0,3
30,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,7,62328,,,,0.3,0,3
30,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,8,62328,,,,0.3,0,3
1,xwiki,XWIKI-13708,8.2.1,java.lang.NullPointerException,1,62328,5.0,1200,"[5.0,100]",0.3,0,3
1,xwiki,XWIKI-13708,8.2.1,java.lang.NullPointerException,2,62328,0.42857142857142855,800,"[0.42857142857142855,100]",0.3,0,3
1,xwiki,XWIKI-13708,8.2.1,java.lang.NullPointerException,3,62328,0.6334306437535739,700,"[0.6334306437535739,100]",0.3,0,3
1,xwiki,XWIKI-13708,8.2.1,java.lang.NullPointerException,4,62328,5.8125,1000,"[5.8125,100]",0.3,0,3
1,xwiki,XWIKI-13708,8.2.1,java.lang.NullPointerException,5,62328,4.5,500,"[4.5,100]",0.3,0,3
1,xwiki,XWIKI-13708,8.2.1,java.lang.NullPointerException,6,62328,4.0,900,"[4.0,100]",0.3,0,3
1,xwiki,XWIKI-13708,8.2.1,java.lang.NullPointerException,7,62328,0.8309859154929577,1000,"[0.8309859154929577,100]",0.3,0,3
1,xwiki,XWIKI-13708,8.2.1,java.lang.NullPointerException,8,62328,,,,0.3,0,3
1,xwiki,XWIKI-13708,8.2.1,java.lang.NullPointerException,9,62328,,,,0.3,0,3
1,xwiki,XWIKI-13708,8.2.1,java.lang.NullPointerException,10,62328,5.25,1800,"[5.25,100]",0.3,0,3
1,xwiki,XWIKI-13708,8.2.1,java.lang.NullPointerException,11,62328,5.857142857142857,700,"[5.857142857142857,100]",0.3,0,3
1,xwiki,XWIKI-13708,8.2.1,java.lang.NullPointerException,12,62328,4.5,1300,"[4.5,100]",0.3,0,3
1,xwiki,XWIKI-13708,8.2.1,java.lang.NullPointerException,24,62328,0.9452054794520548,1900,"[0.9452054794520548,100]",0.3,0,3
1,xwiki,XWIKI-13708,8.2.1,java.lang.NullPointerException,21,62328,0.9375,2200,"[0.9375,100]",0.3,0,3
1,xwiki,XWIKI-13708,8.2.1,java.lang.NullPointerException,30,62328,0.9560439560439561,3200,"[0.9560439560439561,100]",0.3,0,3
1,xwiki,XWIKI-13708,8.2.1,java.lang.NullPointerException,33,62328,0.96,1000,"[0.96,100]",0.3,0,3
1,xwiki,XWIKI-13708,8.2.1,java.lang.NullPointerException,36,62328,0.963302752293578,2400,"[0.963302752293578,100]",0.3,0,3
1,xwiki,XWIKI-13708,8.2.1,java.lang.NullPointerException,39,62328,5.25,1600,"[5.333333333333334,100][5.25,200]",0.3,0,3
2,xwiki,XWIKI-13708,8.2.1,java.lang.NullPointerException,1,62328,5.0,1000,"[5.0,100]",0.3,0,3
